,vendor_id,b_entity_id
42123,293833866,0DGS8D-E
42243,142294154,07TT6T-E
42292,198598292,060DMP-E
42541,289733456,06MBR4-E
42758,59302851,0C39M4-E
42808,151606484,089Q33-E
42812,319001945,07V6PH-E
42833,324164830,0G5ZSV-E
42846,19537288,0C6LXC-E
42960,143027158,05PDTY-E
43260,195104721,06490T-E
43414,198373119,06490T-E
43540,20059892,0837QH-E
43777,195033568,0F2YGQ-E
43781,173703737,0B10J7-E
43798,286935451,0B5417-E
43799,306342151,07VPLH-E
43919,281272054,00246N-E
44167,284952738,0F4PVN-E
44168,285003524,083SRM-E
44386,137617480,087CFS-E
44538,61029854,05TD9F-E
44588,151660354,07LVPP-E
44638,284953507,07NQDH-E
44644,196031029,0F8XTD-E
44814,326543958,05PGWX-E
44969,139522002,0F4FM4-E
44970,47944781,0DHRGS-E
44971,286384923,0F7WT7-E
44972,139254498,0CJ7KK-E
45106,284993043,00C5MQ-E
45297,61171644,07ZH7V-E
45347,137840209,083SRM-E
45568,285002369,000P03-E
45744,286735077,0F64DL-E
45748,286728668,0GTYL6-E
45864,286358506,0F3JNJ-E
45868,286759123,07VL12-E
45918,285362742,0F3JNJ-E
46068,286337706,05GGNP-E
46118,27770188,0CJM6H-E
46379,147158449,05L357-E
46396,282164417,07THXH-E
46646,56496835,0D6QJS-E
46647,50842381,0BGKYY-E
46648,318006914,07XHLX-E
46663,286377470,0F5LT1-E
46815,54692397,0F49WV-E
46858,306085848,0DPB4R-E
46859,22030199,08X2P4-E
46928,151601857,0F4FWF-E
46933,47922285,0GW891-E
47052,305045527,06MY0H-E
47053,27066376,06NT7W-E
47090,304953412,05X9RP-E
47362,152582528,06GGVL-E
47367,59523503,05PGZJ-E
47560,138089241,0F2ZRC-E
47600,138580644,0F50N2-E
47615,286735069,0D357V-E
47853,285526148,085MVZ-E
48085,61230176,099DHQ-E
48224,285520818,0F648P-E
48425,286745807,0F64DH-E
48447,286337965,0715M3-E
48627,285361104,0F4HW3-E
48859,146500812,073TKL-E
48952,286838012,0F64DW-E
48956,138052593,0F8X42-E
48988,154035686,07QC1L-E
49214,58392347,08JYXT-E
49421,322019549,067067-E
49522,49727813,0F5LSZ-E
49725,46317712,085GVF-E
49968,285718978,09RXXY-E
49980,306748211,0834JR-E
50177,277738735,0051QS-E
50208,174238254,09VYJQ-E
50209,287105664,0D37BW-E
50329,285638356,0DHBZV-E
50490,292394889,0H8ZRF-E
50491,299407622,0F8N28-E
50505,324849191,0F3JLW-E
50555,280670196,0D96K2-E
50810,196255929,06490T-E
51025,151542477,0DSBF3-E
